epoch,train_loss,val_loss,precision,recall,f1_macro,f1_micro,roc_auc,lr,epoch_time
1,0.012220923893830993,0.0073704693379606735,0.8922575677632459,0.5806339355943988,0.6887143537998625,0.8369230769230769,0.9762284397484827,0.0001,67.36706018447876
2,0.007429441363466057,0.006472147517774443,0.8939014588900279,0.6792426590615053,0.7524010960360794,0.8570057581573897,0.981550388379538,0.0001,35.108612060546875
3,0.006108819111250341,0.005593510849748628,0.890324259074259,0.7729694023928809,0.8246147022750762,0.8853717026378897,0.9856369637368654,0.0001,34.88476204872131
4,0.005195354884490371,0.005720559093248793,0.8824021737827535,0.7599243402787212,0.811600760760509,0.8885754583921015,0.9867674158019369,0.0001,35.38272476196289
5,0.004458274536088786,0.005790132484635559,0.8490615766991914,0.7647475582457409,0.8027592863686351,0.8861003861003861,0.9862640613844076,0.0001,37.35899806022644
6,0.004104620063338767,0.005608786451945997,0.8465751733100924,0.8244790393014623,0.8350084592632814,0.8923512747875354,0.9844953435226569,5e-05,36.34004521369934
7,0.0029718507635830478,0.0049209565366223704,0.893572494301873,0.8100032065550974,0.8490595072274295,0.9013671875,0.9911734796443177,5e-05,35.6412672996521
8,0.0024841445899272166,0.00466757761492094,0.9043818617070121,0.826740561998856,0.862829243126582,0.9120458891013384,0.991291013547171,5e-05,36.71561026573181
9,0.0020071157312486322,0.0056983692101913236,0.840297870827667,0.8697568818141472,0.8538581457444521,0.9051643192488263,0.9897790226436651,5e-05,35.5634663105011
10,0.002019554467617788,0.005892166529458521,0.8790275069579855,0.855110414528673,0.8637430773552934,0.8978993649242795,0.9901469180182941,5e-05,36.443626165390015
11,0.0017755836524619636,0.006443208554104539,0.8811958244673556,0.8376580852563955,0.8585037795566132,0.9082217973231358,0.988351386770062,2.5e-05,35.58862543106079
12,0.0013245363303841177,0.006038810186910885,0.8651960654198506,0.8349324002101243,0.8490719055880016,0.9034416826003824,0.9901535245097045,2.5e-05,36.62360167503357
13,0.0011848509699815292,0.005233287235122111,0.8819083222648052,0.8538605895741849,0.8671182855286117,0.9148834997622444,0.9916974592420519,2.5e-05,35.938435792922974
