epoch,train_loss,val_loss,dice,iou,pixel_acc,lr
1,0.6609438869688246,0.5756009173664179,0.7228510088541291,0.6975216499783776,0.9806801778349009,0.0001
2,0.5329986191237415,0.5056320875883102,0.7127504560419105,0.6839758491312916,0.982160323722796,0.0001
3,0.49175827481128553,0.48164504089138727,0.5836003890091722,0.5509311062368479,0.9863328141244975,0.0001
4,0.4728696706559923,0.4655204737050967,0.639690429310907,0.6068516685204073,0.9866927438838915,0.0001
5,0.4636989780708596,0.4637623249807141,0.6033168003301729,0.5711860915815289,0.9872159571810202,5e-05
6,0.4558626354623724,0.4537543178620664,0.6999433585865931,0.6669391336088831,0.9889034432443705,5e-05
7,0.45158942350634823,0.4508704903789542,0.6767508302899924,0.6433884538710117,0.9885691099546172,5e-05
8,0.44015575497238724,0.4041182085533034,0.7667961184951392,0.7347752688960596,0.9896481751718305,5e-05
9,0.3128330397605896,0.2437539306384596,0.7944544022056189,0.7660526426678355,0.9894927116957578,5e-05
10,0.18417638727912197,0.15108488957312974,0.7966290106150237,0.7679535705934871,0.9887976223094896,5e-05
11,0.14416650773198517,0.13891559022224761,0.7973118817264383,0.7688649486411702,0.9895626750182022,5e-05
12,0.1372221044699351,0.13488439690660348,0.7961477877741511,0.767506467686458,0.9887268147007986,5e-05
13,0.14353240307834414,0.13560044621540743,0.7930958003483035,0.7640158246186647,0.9888340461660515,5e-05
14,0.13093751825668193,0.13299824801188978,0.7984959130937402,0.7697742696512829,0.9887478741055186,5e-05
15,0.1288544194234742,0.12840358051471412,0.8038163804872469,0.7749438526278193,0.9886828725310889,5e-05
16,0.1276654073540811,0.12983134399506857,0.8029518130828034,0.7755902721123262,0.9895136789842085,5e-05
17,0.1266087360404156,0.12634192216633397,0.8072156824848868,0.7790071236138995,0.9893687404692173,5e-05
18,0.12535188820627,0.12908117468892175,0.8045610660179094,0.7758751206777312,0.9884058924561198,5e-05
19,0.12644610961830174,0.12785122890702702,0.8074616271663796,0.7792764275588773,0.9889080913906748,5e-05
20,0.127711885334165,0.1327162608080967,0.7990579185160723,0.7720082080499693,0.9880952557379549,5e-05
21,0.12624071006973583,0.12391008421863345,0.8113835487853397,0.7830806398256258,0.9890333000909198,5e-05
22,0.12269816613859601,0.130884364543652,0.8055707273835485,0.7799404016272589,0.98935126547109,5e-05
23,0.12243226551899204,0.12319756633686749,0.8162016055800698,0.7887393659488722,0.9891750687225298,5e-05
24,0.12046642103128963,0.12162540006366643,0.8153721026398919,0.7879510420289907,0.9897610951553691,5e-05
25,0.11953324565181025,0.11952866740863431,0.8222748840397055,0.7956369366835464,0.9896612837910652,5e-05
26,0.12169070322204519,0.11757222038101066,0.8243344283916734,0.7977159118110483,0.9899651293050159,5e-05
27,0.11809212490916252,0.11482715018262918,0.8280187584459782,0.8015631416981871,0.9899930926886472,5e-05
28,0.11509123233733354,0.11601339689117264,0.8305689411407168,0.8057444786483591,0.9901463870297779,5e-05
29,0.11613427662739047,0.11343128767541864,0.8289733427492055,0.80198053101247,0.9889035163955255,5e-05
30,0.11472865402146622,0.11588983544656499,0.8267953040247614,0.7998679845847867,0.9892780374396931,5e-05
31,0.11473778638022918,0.11509601651182906,0.829185809601437,0.8044219122014262,0.9898768954656341,5e-05
32,0.11592586862268271,0.12093879121609709,0.8224478380923922,0.7977973632514477,0.9892041503705762,2.5e-05
33,0.11027474458018939,0.11134194874797355,0.8321868492798372,0.8053892928768288,0.9900487302379175,2.5e-05
34,0.10642932309872574,0.1095809738194062,0.8352977179668166,0.8090654537081718,0.9900408559902147,2.5e-05
35,0.10551253716702814,0.10850099800154567,0.8357962600209496,0.809044657444412,0.9899898543953896,2.5e-05
36,0.10583942588280748,0.11081841886466877,0.8374995734881271,0.8132348385724154,0.9905662330036814,2.5e-05
37,0.10390702743221213,0.10860046820545738,0.8362992951138453,0.8094947304237973,0.9903450628573244,2.5e-05
38,0.1030380057019216,0.10639183978888798,0.8392906683412465,0.8126181103289127,0.9900427291339094,2.5e-05
39,0.10347366828057501,0.10794262092729862,0.8380862569267099,0.8115478852255777,0.9900992614301768,2.5e-05
40,0.10231432681282361,0.10885122498836029,0.836827642199668,0.8115894987501882,0.9904583909294822,2.5e-05
